Date,Monthly Residuals
1990-01-01,NA
1990-02-01,NA
1990-03-01,NA
1990-04-01,NA
1990-05-01,NA
1990-06-01,NA
1990-07-01,NA
1990-08-01,NA
1990-09-01,NA
1990-10-01,NA
1990-11-01,NA
1990-12-01,NA
1991-01-01,-0.040139
1991-02-01,-0.094508
1991-03-01,0.032446
1991-04-01,-0.142646
1991-05-01,0.041008
1991-06-01,0
1991-07-01,0.07344
1991-08-01,0.032097
1991-09-01,0.010405
1991-10-01,0.025289
1991-11-01,-0.052707
1991-12-01,-0.052272
1992-01-01,0
1992-02-01,0.039793
1992-03-01,0
1992-04-01,-0.152902
1992-05-01,0.011845
1992-06-01,0
1992-07-01,-0.228851
1992-08-01,0.00289
1992-09-01,-0.027074
1992-10-01,0.073106
1992-11-01,0.045686
1992-12-01,-0.013405
1993-01-01,0
1993-02-01,0.016409
1993-03-01,-0.003918
1993-04-01,0
1993-05-01,0.021185
1993-06-01,0
1993-07-01,0.020283
1993-08-01,0.029088
1993-09-01,0.040039
1993-10-01,0
1993-11-01,0.00433
1993-12-01,-0.023968
1994-01-01,0
1994-02-01,-0.020997
1994-03-01,-0.018125
1994-04-01,0.131914
1994-05-01,0.064218
1994-06-01,0
1994-07-01,-1.93e-4
1994-08-01,2.79e-4
1994-09-01,-0.031162
1994-10-01,0
1994-11-01,0.061858
1994-12-01,-0.044128
1995-01-01,0
1995-02-01,-0.025485
1995-03-01,0.024954
1995-04-01,0
1995-05-01,0.023411
1995-06-01,0
1995-07-01,-0.091121
1995-08-01,0.01115
1995-09-01,0.006379
1995-10-01,0
1995-11-01,0.027758
1995-12-01,-0.0454
1996-01-01,-0.007787
1996-02-01,0
1996-03-01,-0.005694
1996-04-01,0
1996-05-01,0.018513
1996-06-01,0
1996-07-01,-0.0063160000000000004
1996-08-01,0.01143
1996-09-01,-0.119402
1996-10-01,0
1996-11-01,-0.012393
1996-12-01,0.01914
1997-01-01,0
1997-02-01,0.007734
1997-03-01,0.05669
1997-04-01,0
1997-05-01,-0.043339
1997-06-01,0
1997-07-01,-0.007735
1997-08-01,0.020087
1997-09-01,0.010141
1997-10-01,0
1997-11-01,0.015611
1997-12-01,0.002552
1998-01-01,0
1998-02-01,0.022106
1998-03-01,-0.006781
1998-04-01,0
1998-05-01,0.010977
1998-06-01,0
1998-07-01,0.006611
1998-08-01,0.004681
1998-09-01,0.045347
1998-10-01,-0.233437
1998-11-01,0.004692
1998-12-01,-0.058218
1999-01-01,0
1999-02-01,0.004346
1999-03-01,-0.057103
1999-04-01,0
1999-05-01,0.060137
1999-06-01,-0.070555
1999-07-01,0
1999-08-01,-0.007605
1999-09-01,0
1999-10-01,0.031083
1999-11-01,0.084911
1999-12-01,-0.00153
2000-01-01,0
2000-02-01,8.35e-4
2000-03-01,-0.030403
2000-04-01,0
2000-05-01,0.056208
2000-06-01,-0.004784
2000-07-01,0
2000-08-01,0.012291
2000-09-01,0
2000-10-01,0.049298
2000-11-01,0.013737
2000-12-01,0.03186
2001-01-01,-0.062231
2001-02-01,0
2001-03-01,-0.070148
2001-04-01,-0.329227
2001-05-01,-0.109763
2001-06-01,0.032287
2001-07-01,0
2001-08-01,0.027942
2001-09-01,-0.047791
2001-10-01,-0.015675
2001-11-01,-0.031011
2001-12-01,0.03162
2002-01-01,0.020211
2002-02-01,0
2002-03-01,-0.038085
2002-04-01,0
2002-05-01,0.008819
2002-06-01,0.00753
2002-07-01,0
2002-08-01,-0.034811
2002-09-01,-0.002821
2002-10-01,0
2002-11-01,-0.06305
2002-12-01,0.021827
2003-01-01,0.042363
2003-02-01,0
2003-03-01,0.005055
2003-04-01,0
2003-05-01,-0.020454
2003-06-01,0.152247
2003-07-01,0
2003-08-01,0.032147
2003-09-01,-0.017075
2003-10-01,0.009027
2003-11-01,0
2003-12-01,0.014983
2004-01-01,-0.014972
2004-02-01,0
2004-03-01,-0.008231
2004-04-01,0
2004-05-01,0.00833
2004-06-01,-0.023447
2004-07-01,0
2004-08-01,0.015967
2004-09-01,0.002885
2004-10-01,0
2004-11-01,0.020113
2004-12-01,6.95e-4
2005-01-01,0
2005-02-01,-3.8e-4
2005-03-01,0.00341
2005-04-01,0
2005-05-01,0.017734
2005-06-01,0.01482
2005-07-01,0
2005-08-01,-0.006943
2005-09-01,0.027795
2005-10-01,0
2005-11-01,0.003423
2005-12-01,-6.9e-4
2006-01-01,0.025651
2006-02-01,0
2006-03-01,0.050316
2006-04-01,0
2006-05-01,0.057408
2006-06-01,-0.01006
2006-07-01,0
2006-08-01,-0.019095
2006-09-01,0.01549
2006-10-01,-9.77e-4
2006-11-01,0
2006-12-01,0.032881
2007-01-01,0.004145
2007-02-01,0
2007-03-01,-0.015694
2007-04-01,0
2007-05-01,0.028888
2007-06-01,0.012794
2007-07-01,0
2007-08-01,0.037831
2007-09-01,-0.135706
2007-10-01,0.048598
2007-11-01,0
2007-12-01,0.080261
2008-01-01,-0.19746
2008-02-01,0
2008-03-01,0.20272
2008-04-01,-0.009385
2008-05-01,0
2008-06-01,0.013277
2008-07-01,0
2008-08-01,0.019009
2008-09-01,0.105886
2008-10-01,-0.031664
2008-11-01,0.064746
2008-12-01,-0.049873
2009-01-01,0.01979
2009-02-01,0
2009-03-01,0.060025
2009-04-01,0.021022
2009-05-01,0
2009-06-01,0.05132
2009-07-01,0
2009-08-01,0.018806
2009-09-01,-0.031771
2009-10-01,0
2009-11-01,-0.026163
2009-12-01,-0.005547
2010-01-01,-0.003729
2010-02-01,0
2010-03-01,-0.034387
2010-04-01,-0.011633
2010-05-01,0
2010-06-01,0.018111
2010-07-01,0
2010-08-01,-0.003726
2010-09-01,-0.010286
2010-10-01,0
2010-11-01,0.010208
2010-12-01,0.013102
2011-01-01,-0.02677
2011-02-01,0
2011-03-01,-0.033208
2011-04-01,-0.023854
2011-05-01,0
2011-06-01,-0.019548
2011-07-01,0
2011-08-01,0.023945
2011-09-01,0.027526
2011-10-01,0
2011-11-01,-0.013655
2011-12-01,-0.027146
2012-01-01,-0.001443
2012-02-01,0
2012-03-01,-0.006664
2012-04-01,0.006001
2012-05-01,0
2012-06-01,0.024451
2012-07-01,0
2012-08-01,0.009961
2012-09-01,0.029559
2012-10-01,0.011109
2012-11-01,0
2012-12-01,0.008123
2013-01-01,0.012098
2013-02-01,0
2013-03-01,0.032153
2013-04-01,0
2013-05-01,0.022624
2013-06-01,0.024378
2013-07-01,-0.013034
2013-08-01,0
2013-09-01,0.005073
2013-10-01,0.004847
2013-11-01,0
2013-12-01,0.012662
2014-01-01,0.010211
2014-02-01,0
2014-03-01,0.010446
2014-04-01,0.003374
2014-05-01,0
2014-06-01,0.004665
2014-07-01,-0.004487
2014-08-01,0
2014-09-01,0.008933
2014-10-01,0.019945
2014-11-01,0
2014-12-01,0.013343
2015-01-01,0.006734
2015-02-01,0
2015-03-01,-0.020481
2015-04-01,-0.008358
2015-05-01,0
2015-06-01,-0.018158
2015-07-01,-0.001618
2015-08-01,0
2015-09-01,-0.054315
2015-10-01,0.044072
2015-11-01,0
2015-12-01,0.024922
2016-01-01,0.007713
2016-02-01,0
2016-03-01,-0.045634
2016-04-01,0.016153
2016-05-01,0
2016-06-01,-0.033754
2016-07-01,0.011311
2016-08-01,0
2016-09-01,-0.006219
2016-10-01,0
