dates,gdp_data,dYq,dYm,MF,trend,MF_smooth,m_ip_detrended,m_rs_detrended,m_neo_detrended,m_uclaims_detrended,m_gdp_detrended
Jan-73,NaN,4.856767655,0.556087773,0.944096974,3.146538822,1.1313477,5.777008324,11.94471156,NaN,-0.105528916,NaN
Feb-73,NaN,6.430934009,0.66990058,1.428006789,3.141841806,1.209846172,14.10451267,6.113481508,NaN,-0.115851844,NaN
Mar-73,6.641571583,6.641570951,0.434404385,0.234960207,3.137144789,0.122102856,-2.607668839,-4.794824548,NaN,-0.111736792,6.641571583
Apr-73,NaN,5.278032903,0.215203261,-0.459888814,3.131553614,-0.307872546,-4.504055976,-19.81985266,NaN,-0.099373956,NaN
May-73,NaN,3.292061667,0.173407771,0.200379146,3.125962439,0.155251246,5.162959731,-8.226373805,NaN,-0.098244186,NaN
Jun-73,1.210745775,1.210745591,-0.085924634,0.004795231,3.120371264,0.000487245,-1.761082126,0.127946314,NaN,-0.101983965,1.210745775
Jul-73,NaN,-1.567413672,-0.479336555,0.183935945,3.114227327,0.011161085,1.807847128,-2.313437598,NaN,-0.098163022,NaN
Aug-73,NaN,-4.6137943,-0.588187386,-0.445200675,3.10808339,-0.316462284,-4.735077658,-20.59956406,NaN,-0.080979472,NaN
Sep-73,-5.211084454,-5.211083659,-0.235246974,0.385972514,3.101939454,0.539536405,6.766622552,8.073475604,NaN,-0.095201911,-5.211084454
Oct-73,NaN,-2.602806941,0.172732625,0.706274511,3.095592178,0.67349386,6.215349338,-6.530207751,NaN,-0.102414347,NaN
Nov-73,NaN,0.384030551,0.158521987,0.477301181,3.089244903,0.243461163,2.722697563,-0.87945635,NaN,-0.0910776,NaN
Dec-73,0.696059552,0.696059903,-0.157239636,-0.599601536,3.082897628,-0.75362826,-6.068868738,-36.84261306,NaN,-0.058770156,0.696059552
Jan-74,NaN,-2.278596882,-0.570931571,-1.115290806,3.076626282,-1.245185979,-11.06334894,-0.418156799,NaN,-0.03698083,NaN
Feb-74,NaN,-5.354829245,-0.610536104,-0.938915397,3.070354936,-1.053415826,-6.486329087,-8.100408041,NaN,-0.023996617,NaN
Mar-74,-6.518043355,-6.518042639,-0.448042985,-0.52896844,3.06408359,-0.552219382,-2.661939533,2.088567041,NaN,-0.031872331,-6.518043355
Apr-74,NaN,-4.992346273,-0.18950748,-0.445222359,3.058120908,-0.275678768,-6.051542964,6.001278114,NaN,-0.052088814,NaN
May-74,NaN,-2.724819838,-0.043654495,0.398265632,3.052158226,0.167912885,6.223172322,-1.139509185,NaN,-0.048719482,NaN
Jun-74,-2.096590714,-2.096590142,-0.290985561,-0.388092651,3.046195544,-0.471682622,-4.745644812,-9.320880082,NaN,-0.041324894,-2.096590714
Jul-74,NaN,-3.233137353,-0.473644283,-0.072671023,3.040708548,-0.324271254,-0.866850846,9.506801395,NaN,-0.038800039,NaN
Aug-74,NaN,-5.891225066,-0.708176423,-1.281409445,3.035221552,-1.179294078,-15.54699242,16.81541333,NaN,-0.004054086,NaN
Sep-74,-6.828284942,-6.828284408,-0.525250396,-0.959979564,3.029734555,-1.088851209,-2.408924019,-39.03390995,NaN,0.014683822,-6.828284942
Oct-74,NaN,-5.296609417,-0.090725535,-0.913649993,3.024781069,-1.559883484,-6.640941517,-23.0649045,NaN,0.053006277,NaN
Nov-74,NaN,-4.178264884,-0.42859029,-3.26299894,3.019827582,-3.643424985,-35.58695029,-20.23743538,NaN,0.116992571,NaN
Dec-74,-4.570458111,-4.570458784,-0.623298872,-4.225594988,3.014874095,-4.445544701,-38.12279341,-30.0241987,NaN,0.188022871,-4.570458111
Jan-75,NaN,-6.641296451,-0.608434952,-2.838428356,3.010427893,-3.247699946,-19.27932817,38.41140916,NaN,0.197265569,NaN
Feb-75,NaN,-8.060110635,-0.783293836,-3.327263132,3.005981692,-3.224938097,-30.66163534,8.27568964,NaN,0.209226358,NaN
Mar-75,-7.900557409,-7.900557763,-0.583410654,-2.208629881,3.00153549,-2.053514816,-15.99155476,-34.20911139,NaN,0.208571351,-7.900557409
Apr-75,NaN,-6.299068994,-0.208062759,-0.54758207,2.997573727,-0.6072002,-0.305289427,9.821922544,NaN,0.18379031,NaN
May-75,NaN,-3.22012269,-0.01355726,-0.288503644,2.993611963,-0.125525304,-6.256220021,66.12237448,NaN,0.152259843,NaN
Jun-75,-0.141668193,-0.141668303,0.186202943,0.297982902,2.9896502,0.433907707,4.958301598,-12.44156724,NaN,0.150035465,-0.141668193
Jul-75,NaN,2.231293604,0.385177718,0.945391896,2.986157039,1.275066641,9.115891096,5.392778993,NaN,0.090177942,NaN
Aug-75,NaN,3.587590069,0.325516857,1.008357913,2.982663879,1.226165535,9.619810271,6.393391765,NaN,0.099650499,NaN
Sep-75,3.809502263,3.809502241,0.241680986,1.319776211,2.979170719,1.1227082,12.92516158,-8.502449186,NaN,0.091837728,3.809502263
Oct-75,NaN,2.618504491,0.08742828,0.644732264,2.976177485,0.578276312,2.483378096,-0.692788325,NaN,0.065619335,NaN
Nov-75,NaN,1.690979942,0.093635719,0.081391564,2.973184252,0.452572801,-1.083236984,-5.753904906,NaN,0.043357239,NaN
Dec-75,2.379965313,2.379965176,0.413927294,1.148918878,2.970191019,1.382344759,13.83541364,10.13655188,NaN,0.014298045,2.379965313
Jan-76,NaN,4.449985535,0.60493337,1.476575779,2.967712859,1.517740873,13.55337526,23.29704639,NaN,0.008472536,NaN
Feb-76,NaN,6.301747709,0.556576263,1.252351964,2.965234698,1.214693795,9.335798155,-12.53485164,NaN,-0.01636981,NaN
Mar-76,5.932636622,5.932636232,0.321649425,0.437022402,2.962756538,0.462004966,-0.045355576,3.871622201,NaN,-0.004760182,5.932636622
Apr-76,NaN,3.907506862,0.098651027,0.335597604,2.96076128,0.324733338,3.637233404,19.30848698,NaN,0.002917188,NaN
May-76,NaN,1.513211705,-0.041997526,0.07282021,2.958766022,0.09755807,2.51719983,-18.05011716,NaN,0.024378739,NaN
Jun-76,-0.032682414,-0.032682341,-0.064824087,0.038089923,2.956770764,0.177831425,-1.304157389,16.40854356,NaN,0.026053046,-0.032682414
Jul-76,NaN,-0.644996316,-0.054427466,0.405861654,2.955206476,0.388441003,4.382348394,0.69814451,NaN,0.01964164,NaN
Aug-76,NaN,-0.630202939,-0.038299182,0.493630232,2.953642187,0.439971559,5.66680266,-14.6206613,NaN,0.016214006,NaN
Sep-76,-0.763254465,-0.763254022,-0.098086857,0.102583245,2.952077899,0.240720433,0.969759727,-7.993055652,NaN,0.036284949,-0.763254465
Oct-76,NaN,-1.162495324,-0.154237792,-0.067627125,2.9509014,0.211001444,-2.416126402,9.882950185,NaN,0.0368064,NaN
Nov-76,NaN,-0.732097862,0.069300184,1.289943601,2.949724901,1.144617867,15.998402,-0.928851493,NaN,0.013993299,NaN
Dec-76,-0.059602164,-0.059601603,0.070037207,1.236567989,2.948548402,1.113957828,9.92343504,25.78061914,NaN,-0.002943155,-0.059602164
Jan-77,NaN,0.099621822,-0.114431936,-0.520074769,2.947727288,0.038130027,-10.23008885,-16.45716901,NaN,0.026115494,NaN
Feb-77,NaN,0.543320334,0.180224812,1.095964006,2.946906174,1.032656592,16.67961998,13.33058493,NaN,0.073385354,NaN
Mar-77,1.752149231,1.752149412,0.372244477,1.444686331,2.94608506,1.623587492,12.41985609,2.127114538,NaN,-0.020753683,1.752149231
Apr-77,NaN,4.065513892,0.463909184,1.311439954,2.945575153,1.473056842,9.363909267,8.712594522,NaN,-0.014611535,NaN
May-77,NaN,4.787161245,0.36063665,0.867900753,2.945065247,0.864813555,6.827748913,-10.99640018,NaN,-0.003182756,NaN
Jun-77,4.757271113,4.757270691,0.364771839,0.761532144,2.944555341,0.622328362,6.569597168,-1.302717118,NaN,-0.024347712,4.757271113
Jul-77,NaN,4.282623085,0.345247282,0.109648925,2.94435869,0.122298157,-1.043671666,6.061254387,NaN,-0.023832329,NaN
Aug-77,NaN,4.216289639,0.344053289,-0.115371337,2.944162039,0.008945316,-0.914808146,-8.63081849,NaN,-0.019910377,NaN
Sep-77,4.209117013,4.209116462,0.362978544,0.252206741,2.943965388,0.267437907,2.676102932,-0.352845723,NaN,-0.01902512,4.209117013
Oct-77,NaN,2.920896477,0.023192286,0.056749207,2.944093251,0.050716725,-0.678507637,16.10661439,NaN,-0.030407228,NaN
Nov-77,NaN,0.566658032,-0.244506323,0.041105929,2.944221113,-0.255187772,0.001279414,0.030305059,NaN,-0.038866439,NaN
Dec-77,-2.935605983,-2.93560577,-0.512587406,-0.113059199,2.944348975,-0.639913019,-0.737078853,-1.958694221,NaN,-0.032768281,-2.935605983
Jan-78,NaN,-6.002456992,-0.743520519,-1.722235712,2.944861061,-1.24533796,-19.66691577,-33.27395874,NaN,-0.042884188,NaN
Feb-78,NaN,-5.814166903,-0.197433801,-0.175349323,2.945373147,0.347622694,4.154269931,20.61731084,NaN,-0.011012858,NaN
Mar-78,-1.671265247,-1.671265165,0.523138029,1.693633137,2.945885233,1.996621137,20.82386056,19.98750421,NaN,-0.0460868,-1.671265247
Apr-78,NaN,6.577755385,1.318734618,2.565814679,2.946808266,2.534888896,21.5504904,18.54100723,NaN,-0.070566068,NaN
May-78,NaN,11.91600689,1.137129076,1.181335877,2.947731298,1.2262836,3.538419274,-5.17088915,NaN,-0.070796353,NaN
Jun-78,13.42768586,13.42768454,0.90105744,0.888567984,2.948654331,0.659786377,4.961705759,9.671799346,NaN,-0.075169158,13.42768586
Jul-78,NaN,8.788569669,0.158955901,-0.463934257,2.949985075,-0.357940286,-3.400315427,-18.64902579,NaN,-0.050069951,NaN
Aug-78,NaN,4.437810022,0.049439164,0.077034705,2.951315819,0.126833117,2.890977494,6.798789781,NaN,-0.052014313,NaN
Sep-78,1.049335189,1.049334613,0.053938588,0.312745354,2.952646564,0.492639966,1.08354311,-6.939988441,NaN,-0.078549439,1.049335189
Oct-78,NaN,1.075972264,0.165615314,0.660681469,2.954386135,0.771586773,6.755287462,8.755798929,NaN,-0.074047447,NaN
Nov-78,NaN,1.888687314,0.252617927,0.774604554,2.956125706,0.757296244,6.888353481,9.462664959,NaN,-0.073468434,NaN
Dec-78,2.382893136,2.382893045,0.177490021,0.554433677,2.957865277,0.334814473,3.904808788,7.06305078,NaN,-0.050160248,2.382893136
Jan-79,NaN,1.004105648,-0.179081536,-0.639177397,2.96001755,-0.5531747,-9.044962719,-19.63035792,NaN,-0.049213765,NaN
Feb-79,NaN,-0.596702207,-0.147584037,0.071051543,2.962169823,-0.039794,3.759943127,-3.785783873,NaN,-0.049782862,NaN
Mar-79,-2.245818641,-2.245818337,-0.234789011,0.099746709,2.964322096,-0.086595603,1.418047038,10.18469469,NaN,-0.050609318,-2.245818641
Apr-79,NaN,-3.527761189,-0.499567249,-1.392576651,2.96692163,-1.186025184,-15.95848132,-16.34395117,NaN,0.005947271,NaN
May-79,NaN,-3.127183514,-0.047439618,0.437637876,2.969521165,0.306437412,7.957225472,-2.820556452,NaN,-0.058856984,NaN
Jun-79,-2.544669849,-2.54466964,-0.089160543,-0.191264753,2.9721207,-0.298045697,-2.025446584,-9.934519948,NaN,-0.048890592,-2.544669849
Jul-79,NaN,-0.558675123,-0.00306862,-0.442081437,2.975156476,-0.603778591,-4.114804351,-20.08609006,NaN,-0.031705607,NaN
Aug-79,NaN,-0.433242298,-0.016081412,-0.722952039,2.978192251,-0.691190989,-9.718867792,36.26178883,NaN,-0.018187085,NaN
Sep-79,-0.020724956,-0.020725035,0.013968773,-0.441083914,2.981228026,-0.287182171,-2.432689416,-1.233039604,NaN,-0.027216633,-0.020724956
Oct-79,NaN,-0.378973704,-0.092630787,0.192969889,2.984668452,0.085163567,6.120347383,-23.20402862,NaN,-0.012139005,NaN
Nov-79,NaN,-1.1909997,-0.219087911,-0.193522478,2.988108878,-0.145588437,-3.936324908,1.481901698,NaN,-0.002043332,NaN
Dec-79,-1.992497836,-1.992497589,-0.186405699,-0.180888036,2.991549304,-0.032040783,-1.207847923,-12.41997983,NaN,0.010489615,-1.992497836
Jan-80,NaN,-1.654998404,-0.008255991,0.340006001,2.995320725,0.280841696,4.06975625,6.389825368,NaN,-0.00358822,NaN
