dates,monthly_GDP,monthly_GDPDEF,CPRINDEX,TRARR,BOGNONBR,FEDFUNDS,IP,CPIAUCSL
1965-01-01,3854.98797341436,18.5807201691836,58.515095,11.952,11.653,3.9,31.3203,31.28
1965-02-01,3865.30315401786,18.5585263952609,58.0622736842105,11.883,11.479,3.98,31.515,31.28
1965-03-01,3900.20887256807,18.567753435556,56.8250434782609,11.884,11.472,4.04,31.9322,31.31
1965-04-01,3903.85681689403,18.5968277204398,56.9576,12.043,11.571,4.09,32.0713,31.38
1965-05-01,3924.77495734467,18.6474946892195,56.81948,11.912,11.417,4.1,32.3216,31.48
1965-06-01,3950.56822576156,18.7116775903412,55.8060272727273,12.005,11.467,4.04,32.572,31.61
1965-07-01,3987.41685204565,18.7103934368941,55.2000904761905,12.073,11.544,4.09,32.8779,31.58
1965-08-01,4007.61487225659,18.7083020504886,56.0768636363636,12.079,11.531,4.12,33.017,31.55
1965-09-01,4023.56827569804,18.7593045126178,56.292619047619,12.071,11.517,4.01,33.1005,31.62
1965-10-01,4069.40405951989,18.7992525568322,55.6884333333333,12.118,11.63,4.08,33.4343,31.65
1965-11-01,4091.06778795411,18.8585782366615,55.8959904761905,12.087,11.655,4.1,33.5733,31.75
1965-12-01,4141.32815252632,18.9011692065069,57.3927095238095,12.316,11.872,4.32,33.9905,31.85
1966-01-01,4179.84528776434,18.907067136201,58.6764523809524,12.295,11.875,4.42,34.3243,31.88
1966-02-01,4195.93634429468,18.9843628330743,58.9755263157895,12.193,11.711,4.6,34.5469,32.08
1966-03-01,4229.91836794126,19.0335700307252,58.9302782608696,12.164,11.604,4.65,35.0197,32.18
1966-04-01,4207.34520786031,19.0843556205831,59.293735,12.258,11.621,4.67,35.0754,32.28
1966-05-01,4222.93244231276,19.1321707452076,59.6028190476191,12.263,11.575,4.9,35.4092,32.35
1966-06-01,4227.02234982724,19.1764736342099,60.7222409090909,12.256,11.549,5.17,35.576,32.38
1966-07-01,4241.35658603643,19.2296910892531,62.06673,12.371,11.629,5.3,35.7707,32.45
1966-08-01,4237.64201659739,19.3328046904364,60.8295043478261,12.165,11.43,5.53,35.7986,32.65
1966-09-01,4268.6013973665,19.3885042203109,57.5670238095238,12.229,11.46,5.4,36.1323,32.75
1966-10-01,4290.82594319149,19.4506909887876,55.8112571428571,12.199,11.465,5.53,36.3827,32.85
1966-11-01,4269.18259672429,19.4777853205568,55.917595,12.205,11.598,5.76,36.1323,32.88
1966-12-01,4296.79146008455,19.5145236906562,57.1045142857143,12.223,11.69,5.4,36.2158,32.92
1967-01-01,4346.14358624696,19.5207546086369,56.6643714285714,12.334,11.924,4.94,36.3866,32.9
1967-02-01,4320.41762056954,19.5804675611156,56.7295368421053,12.28,11.916,5,35.9739,33
1967-03-01,4308.1387931838,19.5847778302481,56.8290363636364,12.438,12.237,4.53,35.7712,33
1967-04-01,4346.12308027041,19.6293683705144,56.0037,12.488,12.342,4.05,36.1085,33.1
1967-05-01,4315.69913421312,19.6308829080848,56.2970409090909,12.418,12.329,3.94,35.7935,33.1
1967-06-01,4324.27778551675,19.7227487214014,56.2362090909091,12.457,12.351,3.98,35.789,33.3
1967-07-01,4328.6302960742,19.7876956371346,54.96328,12.722,12.607,3.79,35.7075,33.4
1967-08-01,4399.89862339437,19.8478907610345,53.9540304347826,12.678,12.598,3.9,36.3916,33.5
1967-09-01,4369.77108053172,19.9114136018314,55.09223,12.846,12.758,3.99,36.3326,33.6
1967-10-01,4360.73860933757,19.9701882985821,55.6951181818182,13.088,12.959,3.88,36.6285,33.7
1967-11-01,4398.63042354042,20.08242056481,56.7986380952381,13.131,12.999,4.13,37.1523,33.9
1967-12-01,4444.23096712232,20.1483911366084,58.32962,13.18,12.952,4.51,37.5525,34
1968-01-01,4462.16453333033,20.217963128944,58.4052136363636,13.239,12.993,4.6,37.512,34.1
1968-02-01,4493.32901605671,20.289383031914,57.8625105263158,13.188,12.815,4.71,37.6465,34.2
1968-03-01,4516.30645061327,20.3626538391425,57.8010095238095,13.186,12.527,5.05,37.764,34.3
1968-04-01,4525.97721147645,20.4337399067528,57.18799,13.117,12.432,5.76,37.8186,34.4
1968-05-01,4576.94087096035,20.4957797405618,57.1842727272727,13.13,12.389,6.11,38.2429,34.5
1968-06-01,4596.2819175634,20.5824803526859,56.185505,13.251,12.557,6.07,38.3833,34.7
1968-07-01,4593.44988875319,20.6520586289278,55.5943909090909,13.455,12.928,6.02,38.3245,34.9
1968-08-01,4600.67162650383,20.6994633286165,55.9130772727273,13.44,12.875,6.03,38.4314,35
1968-09-01,4603.77848474325,20.7664780424562,56.7048,13.435,12.931,5.78,38.577,35.1
1968-10-01,4590.75408139249,20.911044047767,57.0129391304348,13.529,13.086,5.91,38.6536,35.3
1968-11-01,4631.58093196748,20.9882212835863,58.4579105263158,13.649,13.104,5.82,39.1535,35.4
1968-12-01,4637.06498664031,21.0977346686472,58.9049761904762,13.767,13.021,6.02,39.2772,35.6
1969-01-01,4661.8811578929,21.1398646644089,58.6956954545454,13.629,12.893,6.3,39.5148,35.7
1969-02-01,4689.15834756405,21.1883667920452,58.5251368421053,13.714,12.879,6.61,39.7677,35.8
1969-03-01,4723.7604945433,21.3227685435463,58.41716,13.653,12.751,6.79,40.0795,36.1
1969-04-01,4707.8769806641,21.4136825323276,59.0643380952381,13.471,12.468,7.41,39.932,36.3
1969-05-01,4687.87912215853,21.4692377568444,59.3408619047619,13.844,12.47,8.67,39.7811,36.4
1969-06-01,4724.34389717764,21.5810797108284,59.0225523809524,13.795,12.41,8.9,40.1698,36.6
1969-07-01,4737.35989371689,21.7074282275741,58.3149904761905,13.491,12.239,8.61,40.3818,36.8
1969-08-01,4739.18668913348,21.7780325346103,58.5839571428572,13.784,12.565,9.19,40.4746,36.9
1969-09-01,4731.75341714987,21.884539237816,59.1113761904762,13.822,12.743,9.15,40.4655,37.1
1969-10-01,4728.77020274581,21.9770895746873,59.8218608695652,13.904,12.754,9,40.4774,37.3
1969-11-01,4699.45477043827,22.0676305814181,59.9697684210526,14.172,12.969,8.85,40.0958,37.5
1969-12-01,4718.27502681613,22.1682798438951,59.1350666666667,14.168,13.049,8.97,39.9882,37.7
1970-01-01,4684.05995785884,22.2669222063506,59.530235,14.087,13.128,8.98,39.2477,37.9
1970-02-01,4713.41850431022,22.3829391592822,58.5762631578947,14.099,13.019,8.98,39.2219,38.1
1970-03-01,4723.82153783118,22.4961386343676,58.0100857142857,14.071,13.173,7.76,39.171,38.3
1970-04-01,4712.50398486924,22.6186396903036,58.3013272727273,14.209,13.364,8.1,39.0702,38.5
1970-05-01,4715.63945424699,22.6838834785627,57.862965,14.007,13.04,7.94,39.0247,38.6
1970-06-01,4718.05656088397,22.7794768311342,57.6847409090909,14.078,13.197,7.6,38.8985,38.8
1970-07-01,4753.49283627631,22.8218545092192,57.8171954545455,14.159,12.799,7.21,38.994,38.9
1970-08-01,4766.0772387327,22.8686413850881,59.8789666666667,14.282,13.445,6.61,38.9245,39
1970-09-01,4752.02992499121,22.9495041056931,60.5490047619048,14.447,13.847,6.29,38.6561,39.2
1970-10-01,4677.22617402386,23.0509319622647,59.7354136363636,14.48,14.017,6.2,37.8829,39.4
1970-11-01,4666.4739415588,23.1705502198387,59.6295421052632,14.47,14.055,5.6,37.6534,39.6
1970-12-01,4781.19988441754,23.324517817897,59.4545636363636,14.558,14.225,4.9,38.5182,39.8
1971-01-01,4835.89205523569,23.454902731081,59.301285,14.604,14.24,4.14,38.8144,39.9
1971-02-01,4837.1589960404,23.5233896417278,58.9572842105263,14.819,14.488,3.72,38.7405,39.9
1971-03-01,4829.84894872405,23.6297076271914,57.6832869565217,14.798,14.479,3.71,38.6985,40
1971-04-01,4839.33048334821,23.7240025343748,58.0555619047619,14.759,14.606,4.15,38.9158,40.1
1971-05-01,4859.01015829814,23.8485093761304,58.441235,14.982,14.698,4.63,39.1133,40.3
1971-06-01,4887.35935835391,23.9654880894951,58.8325954545454,15.057,14.564,4.91,39.2773,40.5
1971-07-01,4897.10258098104,24.037197443127,57.7086952380952,15.125,14.302,5.31,39.1633,40.6
1971-08-01,4874.5631561763,24.0851486905233,57.7086772727273,15.19,14.38,5.56,38.936,40.7
1971-09-01,4928.33426284292,24.1416538663499,56.8307142857143,15.423,14.928,5.55,39.5688,40.8
1971-10-01,4924.90986980429,24.1945975763473,56.6699952380952,15.211,14.854,5.2,39.865,40.9
