dates,monthly_GDP,monthly_GDPDEF,CPRINDEX,TRARR,BOGNONBR,FEDFUNDS,IP,CPIAUCSL
1965-01-01,3854.98797341428,18.5807201691835,58.515095,11.952,11.653,3.9,31.3203,31.28
1965-02-01,3865.3031540178,18.5585263952607,58.0622736842105,11.883,11.479,3.98,31.515,31.28
1965-03-01,3900.20887256796,18.5677534355558,56.8250434782609,11.884,11.472,4.04,31.9322,31.31
1965-04-01,3903.85681689394,18.5968277204396,56.9576,12.043,11.571,4.09,32.0713,31.38
1965-05-01,3924.77495734457,18.6474946892193,56.81948,11.912,11.417,4.1,32.3216,31.48
1965-06-01,3950.56822576151,18.7116775903411,55.8060272727273,12.005,11.467,4.04,32.572,31.61
1965-07-01,3987.41685204556,18.7103934368939,55.2000904761905,12.073,11.544,4.09,32.8779,31.58
1965-08-01,4007.61487225651,18.7083020504885,56.0768636363636,12.079,11.531,4.12,33.017,31.55
1965-09-01,4023.56827569795,18.7593045126176,56.292619047619,12.071,11.517,4.01,33.1005,31.62
1965-10-01,4069.40405951978,18.799252556832,55.6884333333333,12.118,11.63,4.08,33.4343,31.65
1965-11-01,4091.06778795402,18.8585782366613,55.8959904761905,12.087,11.655,4.1,33.5733,31.75
1965-12-01,4141.32815252624,18.9011692065067,57.3927095238095,12.316,11.872,4.32,33.9905,31.85
1966-01-01,4179.84528776425,18.9070671362009,58.6764523809524,12.295,11.875,4.42,34.3243,31.88
1966-02-01,4195.9363442946,18.9843628330741,58.9755263157895,12.193,11.711,4.6,34.5469,32.08
1966-03-01,4229.91836794119,19.033570030725,58.9302782608696,12.164,11.604,4.65,35.0197,32.18
1966-04-01,4207.34520786023,19.0843556205829,59.293735,12.258,11.621,4.67,35.0754,32.28
1966-05-01,4222.93244231268,19.1321707452074,59.6028190476191,12.263,11.575,4.9,35.4092,32.35
1966-06-01,4227.02234982717,19.1764736342097,60.7222409090909,12.256,11.549,5.17,35.576,32.38
1966-07-01,4241.35658603632,19.2296910892529,62.06673,12.371,11.629,5.3,35.7707,32.45
1966-08-01,4237.6420165973,19.3328046904363,60.8295043478261,12.165,11.43,5.53,35.7986,32.65
1966-09-01,4268.60139736642,19.3885042203108,57.5670238095238,12.229,11.46,5.4,36.1323,32.75
1966-10-01,4290.82594319139,19.4506909887874,55.8112571428571,12.199,11.465,5.53,36.3827,32.85
1966-11-01,4269.1825967242,19.4777853205566,55.917595,12.205,11.598,5.76,36.1323,32.88
1966-12-01,4296.79146008446,19.5145236906559,57.1045142857143,12.223,11.69,5.4,36.2158,32.92
1967-01-01,4346.14358624688,19.5207546086367,56.6643714285714,12.334,11.924,4.94,36.3866,32.9
1967-02-01,4320.41762056947,19.5804675611154,56.7295368421053,12.28,11.916,5,35.9739,33
1967-03-01,4308.13879318371,19.584777830248,56.8290363636364,12.438,12.237,4.53,35.7712,33
1967-04-01,4346.12308027034,19.6293683705141,56.0037,12.488,12.342,4.05,36.1085,33.1
1967-05-01,4315.69913421304,19.6308829080847,56.2970409090909,12.418,12.329,3.94,35.7935,33.1
1967-06-01,4324.27778551667,19.7227487214012,56.2362090909091,12.457,12.351,3.98,35.789,33.3
1967-07-01,4328.63029607412,19.7876956371344,54.96328,12.722,12.607,3.79,35.7075,33.4
1967-08-01,4399.89862339428,19.8478907610343,53.9540304347826,12.678,12.598,3.9,36.3916,33.5
1967-09-01,4369.77108053165,19.9114136018312,55.09223,12.846,12.758,3.99,36.3326,33.6
1967-10-01,4360.73860933748,19.970188298582,55.6951181818182,13.088,12.959,3.88,36.6285,33.7
1967-11-01,4398.63042354032,20.0824205648098,56.7986380952381,13.131,12.999,4.13,37.1523,33.9
1967-12-01,4444.23096712225,20.1483911366082,58.32962,13.18,12.952,4.51,37.5525,34
1968-01-01,4462.16453333026,20.2179631289438,58.4052136363636,13.239,12.993,4.6,37.512,34.1
1968-02-01,4493.3290160566,20.2893830319138,57.8625105263158,13.188,12.815,4.71,37.6465,34.2
1968-03-01,4516.30645061319,20.3626538391424,57.8010095238095,13.186,12.527,5.05,37.764,34.3
1968-04-01,4525.97721147641,20.4337399067526,57.18799,13.117,12.432,5.76,37.8186,34.4
1968-05-01,4576.94087096029,20.4957797405617,57.1842727272727,13.13,12.389,6.11,38.2429,34.5
1968-06-01,4596.28191756333,20.5824803526857,56.185505,13.251,12.557,6.07,38.3833,34.7
1968-07-01,4593.44988875308,20.6520586289275,55.5943909090909,13.455,12.928,6.02,38.3245,34.9
1968-08-01,4600.67162650375,20.6994633286163,55.9130772727273,13.44,12.875,6.03,38.4314,35
1968-09-01,4603.7784847432,20.7664780424561,56.7048,13.435,12.931,5.78,38.577,35.1
1968-10-01,4590.7540813924,20.9110440477668,57.0129391304348,13.529,13.086,5.91,38.6536,35.3
1968-11-01,4631.58093196738,20.9882212835861,58.4579105263158,13.649,13.104,5.82,39.1535,35.4
1968-12-01,4637.06498664025,21.0977346686471,58.9049761904762,13.767,13.021,6.02,39.2772,35.6
1969-01-01,4661.88115789284,21.1398646644088,58.6956954545454,13.629,12.893,6.3,39.5148,35.7
1969-02-01,4689.15834756398,21.188366792045,58.5251368421053,13.714,12.879,6.61,39.7677,35.8
1969-03-01,4723.76049454322,21.3227685435461,58.41716,13.653,12.751,6.79,40.0795,36.1
1969-04-01,4707.87698066402,21.4136825323274,59.0643380952381,13.471,12.468,7.41,39.932,36.3
1969-05-01,4687.8791221584,21.4692377568442,59.3408619047619,13.844,12.47,8.67,39.7811,36.4
1969-06-01,4724.34389717758,21.5810797108283,59.0225523809524,13.795,12.41,8.9,40.1698,36.6
1969-07-01,4737.35989371682,21.7074282275739,58.3149904761905,13.491,12.239,8.61,40.3818,36.8
1969-08-01,4739.18668913343,21.7780325346102,58.5839571428572,13.784,12.565,9.19,40.4746,36.9
1969-09-01,4731.75341714981,21.8845392378159,59.1113761904762,13.822,12.743,9.15,40.4655,37.1
1969-10-01,4728.7702027458,21.9770895746871,59.8218608695652,13.904,12.754,9,40.4774,37.3
1969-11-01,4699.45477043823,22.0676305814179,59.9697684210526,14.172,12.969,8.85,40.0958,37.5
1969-12-01,4718.27502681606,22.168279843895,59.1350666666667,14.168,13.049,8.97,39.9882,37.7
1970-01-01,4684.05995785877,22.2669222063505,59.530235,14.087,13.128,8.98,39.2477,37.9
